artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
6LEeAFiJF8OuPx747e1wxR,Blood Orange,61,877847,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis",2024-05-21
7MhMgCo0Bl0Kukl93PZbYS,Blur,67,3304784,"alternative rock, britpop, madchester, permanent wave, rock",2024-05-21
5YFS41yoX0YuFY39fq21oN,Bob Sinclar,68,612462,"disco house, filter house",2024-05-21
5KCph1z3jaSwhtwPzoYp6i,Body Count,43,283286,"funk metal, groove metal, nu metal, political hip hop, rap metal, rap rock",2024-05-21
3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,54,864566,"british indie rock, chamber pop, indie rock, indietronica, modern rock, shimmer pop",2024-05-21
7s4I6rDvTcdBDKElVbtsAN,Bombino,35,99606,"afropop, desert blues, musique nigerienne, tuareg guitar, world",2024-05-21
1YlyxjwYNSjBD0NAJGEfWB,Bombs Away,48,51109,"australian dance, melbourne bounce, melbourne bounce international",2024-05-21
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,72,3571924,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",2024-05-21
58lV9VcRSjABbAbfWS6skp,Bon Jovi,76,13196206,"glam metal, rock",2024-05-21
0cmWgDlu9CwTgxPhf403hb,Bonobo,60,1379133,"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop",2024-05-21
4uiMn2g0pgTrhN096QJhbp,Borgeous,50,558185,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house",2024-05-21
7u160I5qtBYZTQMLEIJmyz,Borgore,46,560973,"brostep, classic dubstep, dubstep, edm, electro house",2024-05-21
7wbkl3zgDZEoZer357mVIw,boy pablo,57,1251818,"bedroom pop, bergen indie, norwegian indie, pov: indie",2024-05-21
62k5LKMhymqlDNo2DWOvvv,Boys Noize,59,285077,"alternative dance, dance-punk, electro house, fidget house, filter house, german dance, german techno, new rave",2024-05-21
1KP6TWI40m7p3QBTU6u2xo,BØRNS,64,1262116,"indie poptimism, modern alternative rock, modern rock, pov: indie",2024-05-21
13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,62,2758448,"contemporary country, country, country road",2024-05-21
2sG4zTOLvjKG1PSoOyf5Ej,Brandi Carlile,61,814882,"acoustic pop, ectofolk, folk, indie folk, lilith, modern folk rock, new americana",2024-05-21
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,62,2946124,"contemporary country, country, country road, modern country rock",2024-05-21
5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,67,4561529,"alternative metal, nu metal, post-grunge",2024-05-21
53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,49,347804,"electropowerpop, neon pop punk, trancecore",2024-05-21
