date,isLiked,artistName,artistID,artistPopularity,artistFollowers,artistGenre
,,Sleigh Bells,59pWgeY26Q6yJy37QvJflh,46,268627,"brooklyn indie, dance-punk, experimental pop, indie rock, indie surf, indietronica, neo-synthpop, noise pop, shimmer pop"
,,Slightly Stoopid,6MxlVTY6PmY8Nyn16fvxtb,65,678450,"reggae fusion, reggae rock"
,,Slipknot,05fG473iIaoy82BF1aGhL8,78,9624050,"alternative metal, nu metal, rap metal, rock"
,,Slowdive,72X6FHxaShda0XeQw3vbeF,60,724451,"alternative rock, dream pop, nu gaze, reading indie, shoegaze"
,,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,62,506805,"uk alternative hip hop, uk hip hop"
,,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,51,361143,"art pop, baltimore indie, bubblegrunge, indie pop, indie rock"
,,Snakehips,2FwJwEswyIUAljqgjNSHgP,64,352544,"electropop, tropical house, uk dance"
,,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,83,9721856,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
,,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,68,2825828,"irish rock, modern rock, neo mellow, permanent wave, pop rock"
,,Social Distortion,16nn7kCHPWIB6uK09GQCNI,56,594830,"punk, punk 'n' roll, skate punk, socal pop punk"
,,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,68,678373,edm
,,Solange,2auiVi8sUZo17dLy1HwrTU,61,1971912,"afrofuturism, alternative r&b, r&b, urban contemporary"
,,Solardo,0oO1IaDOBSeI96HbnCa5pZ,58,111154,"house, tech house, uk dance"
,,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,68,3996795,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock"
,,Spoon,0K1q0nXQ8is36PzOKAMbNe,59,617324,"alternative rock, austindie, indie rock, modern rock"
,,St. Paul and the Broken Bones,4fXkvh05wFhuH77MfD4m9o,56,391631,"new americana, retro soul"
,,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,62,803245,"art pop, etherpop, indie rock, indietronica, metropopolis, neo-synthpop"
,,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,36,72577,
,,Starkillers,6gJE2UbjRlQBb0dFmMQTm0,39,21581,"dutch house, electro house, progressive electro house"
,,Steel Panther,3l02WF362j1oHOurzuseBv,52,498365,"comic metal, glam metal, sleaze rock"
,,Stefano Noferini,4IVlorYhuVoIUWg6HVx6DK,28,42347,"deep minimal techno, funky tech house, italian tech house, tribal house"
,,Steve Akoi,77AiFEVeAVj2ORpC85QVJs,74,3753863,"edm, electro house, pop dance"
,,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,60,582511,"dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house"
,,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,74,3753863,"edm, electro house, pop dance"
,,Steve Lawler,0NDuRCSLSH0Ii5An4U6HME,27,39679,"classic progressive house, deep disco house, minimal techno, tribal house"
,,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,75,6122202,"motown, soul"
,,Stick Figure,5SXEylV07TC57eanSxxg4R,66,556997,"reggae fusion, reggae rock"
,,Sting,0Ty63ceoRnnJKVEYP0VQpk,70,2956784,"permanent wave, soft rock, sophisti-pop"
,,Stone Sour,49qiE8dj4JuNdpYGRPdKbF,64,2729152,"alternative metal, nu metal, post-grunge, rock"
,,Stormzy,2SrSdSvpminqmStGELCSNd,72,2762874,"grime, uk hip hop"
,,STRFKR,2Tz1DTzVJ5Gyh8ZwVr6ekU,59,420669,"indie rock, indietronica"
,,Stromae,5j4HeCoUlzhfWtjAfM1acR,72,2995957,"belgian pop, g-house"
,,STS9,1eZ4td9oadjw7GkW0LzxNK,37,127286,"jam band, jamtronica, livetronica"
,,Sub Zero Project,4f0OXMMSxr0r8Ztx6CdpAl,61,165195,"euphoric hardstyle, rawstyle"
,,Sublime with Rome,3XXrhkZKSGd3CUJQFnx5tQ,54,270807,reggae rock
,,Suicidal Tendencies,3WPKDlucMsXH6FC1XaclZC,54,634475,"alternative metal, california hardcore, crossover thrash, funk metal, hard rock, hardcore punk, metal, nu metal, old school thrash, punk, thrash metal"
,,Superorganism,0Wkm45quqfx3NepJpXDvwE,50,234506,art pop
,,Sven Vath,5TQaBSTOSypp7S4jfSnN3F,37,190605,"frankfurt electronic, german techno, minimal techno, techno"
,,Swanky Tunes,06cLuOP0p7VAnBnqil1eWX,45,91567,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house, russian edm"
,,Swans,79S80ZWgVhIPMCHuvl6SkA,46,257140,"art pop, dream pop, experimental, experimental rock, industrial rock, no wave, noise pop, noise rock, post-punk, post-rock, shoegaze"
,,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,76,3709875,"edm, pop dance, progressive electro house"
,,Sylvan Esso,39vA9YljbnOApXKniLWBZv,57,532453,"art pop, chamber pop, etherpop, indie rock, indietronica, shimmer pop"
,,System of a Down,5eAWCfyUhZtHHtBdNk56l1,80,9204015,"alternative metal, nu metal, rap metal, rock"
,,Tale of Us,1UL813H5aj3e8ekE5RqWqc,53,389793,"italian techno, melodic techno, minimal tech house"
,,Tame Impala,5INjqkS1o8h1imAzPqGZBb,81,6546826,"australian psych, modern rock, neo-psychedelic, rock"
,,Tank and the Bangas,5cAtakaadWHJLxmGKrKcX7,45,227280,"alternative r&b, new orleans funk"
,,Tarkan,2yMN0IP20GOaN6q0p0zL5k,66,3088508,turkish pop
,,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,63,1571211,australian reggae fusion
,,Taylor Swift,06HL4z0CvFAxyc27GXpf02,100,75109593,pop
,,Tears for Fears,4bthk9UfsYUYdcFyqxmSUU,73,2828628,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop"
,,Tech N9ne,6UBA15slIuadJ8h2lPRPos,69,2678527,kansas city hip hop
,,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,43,129913,"alternative rock, modern power pop, power pop, scottish indie, scottish rock, shoegaze"
,,Tegan & Sara,5e1BZulIiYWPRm8yogwUYH,56,609710,"canadian indie, lilith, metropopolis, permanent wave"
,,Tenacious D,1XpDYCrUJnvCo9Ez6yeMWh,65,1607989,"alternative metal, comedy rock, comic, comic metal, parody"
,,Tennyson,3Nb8N20WChM0swo5qWTvm8,44,84502,"edmonton indie, future bass, vapor twitch"
,,Testament,28hJdGN1Awf7u3ifk2lVkg,59,963246,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal"
,,The 1975,3mIj9lX2MWuHmhNCA7LSCW,80,6691928,"modern alternative rock, modern rock, pop, pov: indie, rock"
,,The Afghan Whigs,7IDrRpDz0cOuUVC32c8PKD,39,108969,"alternative rock, permanent wave"
,,The Avett Brothers,196lKsA13K3keVXMDFK66q,61,972300,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler"
,,The Band Perry,75FnCoo4FBxH5K1Rrx0k5A,57,1582864,"contemporary country, country, country dawn, country road"
,,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,72,4116403,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop"
,,The Black Angels,0VNWuGf8SMVU2AerpdhMbP,47,248929,"garage rock, modern blues rock, neo-psychedelic"
,,The Black Crowes,5krkohEVJYw0qoB5VWwxaC,61,695159,"album rock, blues rock, classic rock, hard rock, heartland rock, jam band, rock, southern rock"
,,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,71,3867306,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock"
,,The Black Lips,35C0NSLogAwImm8HAMqEmG,43,157245,"atlanta indie, atlanta punk, garage rock, indie garage rock, noise pop"
,,The Blessed Madonna,4TvhRzxIL1le2PWCeUqxQw,64,43123,
,,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5,48,241181,"dance-punk, electro house, fidget house, filter house"
,,The Breeders,1xgFexIwrf2QjbU0buCNnp,53,399371,"alternative rock, boston rock"
,,The Cat Empire,023YMawCG3OvACmRjWxLWC,53,341945,"australian reggae fusion, australian ska, ska jazz"
,,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,80,20163967,"electropop, pop, tropical house"
,,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,62,1904226,"alternative dance, big beat, breakbeat, electronica, filter house, rave, trip hop"
,,The Courteeners,1NfJU4hy56Z4UM4iyIa1B2,53,304867,"britpop, manchester indie"
,,The Crystal Method,5eKLa1xyHLq8ERWmT1CRHj,50,289297,"big beat, breakbeat, electronica"
,,The Cure,7bu3H8JO7d0UbMoVzbo70s,76,4522428,"new wave, permanent wave, rock, uk post-punk"
,,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,55,396020,"glam metal, hard rock"
,,The Decemberists,7ITd48RbLVpUfheE7B86o2,53,585558,"baroque pop, canadian indie, chamber pop, indie rock, modern folk rock, stomp and holler"
,,The Del McCoury Band,2fj5pzLyOKDpUOPZs9q3wt,41,47504,"bluegrass, progressive bluegrass"
,,The Disco Biscuits,1sahk8ZhHF9FB59DMyDi8D,34,80777,"jam band, jamtronica, livetronica, philly indie"
,,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,59,740975,"alternative rock, chamber pop, indie rock, indietronica, noise pop, okc indie, singer-songwriter"
,,The Growlers,2RhgnQNC74QoBlaUvT4MEe,60,592132,"garage rock revival, indie garage rock, indie surf"
,,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,63,1042607,"folk-pop, seattle indie, stomp and holler"
,,The Hives,4DToQR3aKrHQSSRzSz8Nzt,61,717364,"alternative rock, garage rock, garage rock revival, modern rock, rock, swedish garage rock, swedish hard rock, swedish indie rock"
,,The Hold Steady,3qkZBMz5JgmRN9u5wwhRC6,43,78538,"alternative country, heartland rock"
,,The Horrors,7EFB09NxZrMi9pGlOnuBpd,44,259274,"alternative dance, deep gothic post-punk, essex indie, garage rock, grave wave, indie rock, indietronica, modern rock, neo-synthpop, new rave, noise pop, nu gaze, shoegaze"
,,The Infamous Stringdusters,7yTltkMBvChBkA86Tz8WfW,41,96429,"bluegrass, instrumental bluegrass, jam band, jamgrass, mandolin, neo-traditional bluegrass, progressive bluegrass"
,,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,52,426121,"alternative rock, new wave, noise pop, post-punk, scottish indie, shoegaze, singer-songwriter, uk post-punk"
,,The Joy Formidable,4LdZNE5MHGqvc0N9ivXNF3,39,122529,"metropopolis, nu gaze, welsh indie, welsh rock"
,,The Killers,0C0XlULifJtAgn6ZNCW2eu,77,6990028,"alternative rock, dance rock, modern rock, permanent wave, rock"
,,The Kills,5BYuBzqmTXwUDw2rYkwExr,49,665370,"alternative dance, dance-punk, garage rock, garage rock revival, indie rock, indietronica, modern blues rock, modern rock, new rave"
,,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,68,2428623,"brighton indie, garage rock, modern rock, rock"
,,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,61,999766,"baroque pop, modern rock, sheffield indie"
,,The Libertines,4fSPtBgFPZzygkY6MehwQ7,55,820021,"britpop, garage rock, garage rock revival, modern rock"
,,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,77,5124250,"folk-pop, modern rock, neo mellow, stomp and holler"
,,The Martinez Brothers,7B1LLuCQk13H4Mb6CFBftU,54,195013,"deep disco house, house, minimal tech house, minimal techno"
,,The National,2cCUtGK9sDU2EoElnk0GNB,72,1515400,"chamber pop, indie folk, indie rock, indietronica, modern rock, stomp and holler"
,,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,77,5031421,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
,,The Polish Ambassador,2dI9IuajQnLR5dLxHjTTqU,47,115019,"electropop, glitch hop"
,,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,54,546027,"chamber pop, indie rock, indietronica, seattle indie"
,,The Pretty Reckless,2R57sY41L9XvGPiIgHOaYq,60,1326079,"alternative metal, candy pop"
,,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,65,2248859,"big beat, breakbeat, dance rock, hardcore techno, rave"
,,The Replacements,4WPY0N74T3KUja57xMQTZ3,54,265138,"alternative rock, permanent wave, power pop, punk, singer-songwriter"
,,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,78,12939512,"album rock, british invasion, classic rock, rock"
,,The Roots,78xUyw6FkVZrRAtziFdtdu,60,1292026,"conscious hip hop, east coast hip hop, hip hop, philly rap, political hip hop"
,,The Shins,4LG4Bs1Gadht7TCrMytQUO,63,1154553,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, stomp and holler"
,,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,73,4513599,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
,,The Specials,6xnvNmSzmeOE1bLKnYXKW3,56,581079,"britpop, new wave, punk, ska, ska revival"
,,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,61,1387370,"britpop, dance rock, madchester"
,,The Streets,4GvOygVQquMaPm8oAc0vXi,57,444948,"birmingham hip hop, uk garage"
,,The String Cheese Incident,7N3JfLDzzjXdPbsyco7X0l,44,213811,"jam band, jamgrass, progressive bluegrass"
,,The Strokes,0epOFNiUfyON9EYx7Tpr6V,76,4990783,"alternative rock, garage rock, modern rock, permanent wave, rock"
,,The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,66,686182,"indietronica, modern rock"
,,The Ting Tings,2wvUfjKGoXvcnDHq7GgMOa,51,396758,"alternative dance, dance-punk, new rave"
,,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA,58,744787,"garage rock, indie rock, modern rock, rock"
,,The Voidz,4nUBBtLtzqZGpdiynTJbYJ,60,224710,modern alternative rock
,,The Wailers,6uSKeCyQEhvPC2NODgiqFE,57,503578,"reggae, roots reggae, ska"
,,The Walkmen,6kFay2DQ5aZfeu5OsrF3Pw,49,186826,"chamber pop, indie rock, noise pop"
,,The War on Drugs,6g0mn3tzAds6aVeUYRsryU,60,881275,"chamber pop, indie rock, modern rock, philly indie"
,,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,96,65289551,"canadian contemporary r&b, canadian pop, pop"
,,The Werks,2w3mdKFSuS2cyXd6ZLYEvs,32,24828,"dayton indie, jam band, jamtronica"
,,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,64,1046288,"liverpool indie, modern alternative rock, modern rock"
,,The xx,3iOvXCl6edW5Um0fXEBRXy,66,3887944,"downtempo, dream pop, indietronica, modern rock"
,,Thee Oh Sees,3qYfqdVwX0fil71onLpLkh,52,285464,"bay area indie, double drumming, garage pop, garage rock, indie rock, lo-fi, neo-psychedelic, noise pop, noise rock, psychedelic punk"
,,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,62,769456,"downtempo, electronica, livetronica, trip hop"
,,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,64,1459465,"alternative metal, pop rock, post-grunge"
,,Thirty Seconds to Mars,0RqtSIYZmd4fiBKVFqyIqD,69,3343452,"modern rock, post-grunge"
